iter	Passed	Remaining
0	155	77770
1	165	41206
2	175	29065
3	184	22878
4	194	19291
5	205	16925
6	215	15151
7	224	13822
8	234	12801
9	243	11936
10	252	11243
11	261	10643
12	270	10145
13	279	9712
14	288	9326
15	297	8989
16	306	8721
17	316	8483
18	326	8256
19	336	8069
20	349	7961
21	362	7873
22	373	7740
23	384	7622
24	396	7528
25	409	7459
26	422	7397
27	434	7323
28	446	7252
29	457	7166
30	466	7060
31	475	6961
32	485	6867
33	494	6780
34	504	6696
35	514	6627
36	523	6549
37	532	6471
38	541	6401
39	550	6326
40	559	6267
41	569	6206
42	578	6144
43	586	6079
44	596	6026
45	605	5971
46	614	5922
47	624	5881
48	633	5831
49	642	5783
50	651	5738
51	660	5691
52	670	5651
53	679	5610
54	688	5569
55	697	5530
56	706	5492
57	715	5453
58	724	5412
59	734	5385
60	743	5352
61	753	5323
62	762	5290
63	771	5256
64	780	5226
65	790	5195
66	799	5169
67	808	5138
68	817	5109
69	826	5078
70	836	5053
71	846	5029
72	855	5003
73	865	4984
74	875	4963
75	887	4953
76	899	4938
77	907	4912
78	917	4888
79	927	4867
80	936	4844
81	947	4830
82	957	4812
83	967	4793
84	977	4773
85	989	4762
86	1000	4750
87	1010	4729
88	1019	4707
89	1028	4684
90	1036	4660
91	1045	4638
92	1054	4616
93	1064	4595
94	1074	4579
95	1083	4558
96	1092	4538
97	1101	4517
98	1111	4503
99	1121	4484
100	1129	4462
101	1138	4444
102	1147	4423
103	1156	4402
104	1165	4386
105	1176	4372
106	1186	4356
107	1195	4338
108	1204	4320
109	1213	4302
110	1222	4282
111	1231	4265
112	1240	4247
113	1249	4232
114	1259	4216
115	1268	4197
116	1276	4179
117	1285	4162
118	1295	4147
119	1304	4131
120	1313	4114
121	1322	4097
122	1331	4081
123	1340	4064
124	1349	4049
125	1359	4034
126	1369	4021
127	1379	4008
128	1390	3999
129	1402	3992
130	1415	3987
131	1427	3980
132	1438	3969
133	1449	3958
134	1461	3950
135	1473	3943
136	1483	3931
137	1494	3920
138	1506	3911
139	1516	3898
140	1526	3887
141	1537	3876
142	1547	3862
143	1557	3851
144	1568	3841
145	1578	3826
146	1587	3812
147	1597	3799
148	1607	3787
149	1618	3776
150	1628	3762
151	1639	3752
152	1649	3740
153	1659	3728
154	1669	3716
155	1679	3702
156	1689	3690
157	1700	3680
158	1710	3669
159	1720	3656
160	1731	3646
161	1741	3633
162	1752	3622
163	1761	3609
164	1771	3596
165	1781	3584
166	1791	3571
167	1801	3559
168	1811	3547
169	1821	3536
170	1831	3523
171	1842	3512
172	1852	3500
173	1861	3488
174	1871	3476
175	1881	3463
176	1891	3451
177	1901	3440
178	1911	3428
179	1924	3422
180	1935	3410
181	1945	3398
182	1958	3392
183	1969	3382
184	1980	3372
185	1991	3361
186	2002	3351
187	2012	3339
188	2022	3327
189	2032	3316
190	2042	3303
191	2053	3293
192	2063	3281
193	2072	3269
194	2082	3258
195	2092	3246
196	2103	3235
197	2113	3224
198	2123	3212
199	2134	3201
200	2144	3189
201	2154	3178
202	2164	3166
203	2173	3153
204	2183	3141
205	2191	3128
206	2201	3115
207	2210	3102
208	2219	3090
209	2229	3078
210	2238	3066
211	2249	3055
212	2260	3045
213	2270	3034
214	2281	3024
215	2290	3011
216	2299	2999
217	2309	2987
218	2317	2974
219	2327	2962
220	2336	2950
221	2345	2937
222	2355	2926
223	2365	2914
224	2375	2903
225	2384	2891
226	2393	2879
227	2404	2868
228	2414	2857
229	2425	2846
230	2437	2838
231	2448	2828
232	2459	2817
233	2470	2807
234	2481	2798
235	2490	2785
236	2500	2774
237	2510	2763
238	2519	2751
239	2528	2739
240	2537	2726
241	2546	2714
242	2555	2703
243	2565	2691
244	2573	2678
245	2583	2667
246	2592	2655
247	2601	2643
248	2610	2631
249	2620	2620
250	2630	2609
251	2639	2597
252	2648	2586
253	2657	2574
254	2666	2562
255	2676	2550
256	2685	2538
257	2694	2527
258	2704	2516
259	2713	2504
260	2723	2493
261	2732	2481
262	2741	2470
263	2751	2459
264	2760	2447
265	2769	2436
266	2777	2424
267	2788	2413
268	2797	2402
269	2807	2391
270	2816	2380
271	2826	2369
272	2836	2358
273	2846	2347
274	2855	2336
275	2865	2325
276	2874	2314
277	2884	2303
278	2893	2292
279	2904	2282
280	2914	2271
281	2925	2261
282	2937	2252
283	2947	2241
284	2957	2231
285	2968	2221
286	2978	2210
287	2988	2199
288	2998	2189
289	3007	2178
290	3017	2167
291	3026	2156
292	3035	2144
293	3045	2133
294	3054	2122
295	3063	2111
296	3072	2100
297	3081	2088
298	3090	2077
299	3098	2065
300	3108	2055
